name,address,Latitude,Longitude,area,people
(김천)현대,"경북 김천시 시청로 114, (신음동, 김천현대자동차운전학원)",36.1387,128.118,14209,120
포항영남,"경북 포항시 북구 우창로 111, (우현동, 영남자동차학원)",36.0633,129.36,20133,216
천마,"경북 경주시 광중길 14, (용강동, 천마자동차운전전문학원)",35.8796,129.225,10678,255
(영천)현대,"경북 영천시 망정1길 80, (망정동)",35.9783,128.95,7890,192
대영,"경북 영주시 영봉로 35-15 (휴천동, 대영자동차운전학원)",36.819,128.641,11432,140
새한일,"경북 상주시 경상대로 2725, (가장동)",36.3765,128.142,9404,168
(경산)남부,"경북 경산시 중방로 124, (계양동, 경산남부자동차학원)",35.8325,128.747,8842,465
예천,"경북 예천군 예천읍 도효자로 62-15, (예천자동차전문학원)",36.6764,128.468,12957,64
(영천)성림,"경북 영천시 금호읍 금호로 338-40",35.9374,128.896,9106,512
봉화,"경북 봉화군 봉화읍 꽃동네길 18-6, (봉화자동차운전학원)",36.8897,128.734,9455,45
구미,"경북 구미시 고아읍 선산대로 468, (구미자동차운전학원)",36.1711,128.354,7343,144
안동새한,"경북 안동시 강남로 108, (수상동, 새한자동차운전학원)",36.5498,128.713,19466,351
경주,"경북 경주 안강 새안현로 1144",35.9686,129.137,11219,336
(주)진성,"경북 영덕군 영덕읍 남산길 22-6",36.4017,129.372,8056,28
하양,"경북 경산시 진량읍 금호강변로 860, (하양자동차운전학원)",35.9074,128.825,9208,160
쌍용,"경북 경산시 진량읍 대학로 1333, (쌍용자동차운전학원)",35.8979,128.823,10322,285
(김천)중앙,"경북 김천시 아포읍 송선로 140, (중앙자동차운전학원)",36.1475,128.286,13733,168
영강,"경북 문경시 산양면 과상2길 17, (영강자동차운전학원)",36.6346,128.274,11111,96
경주현대,"경북 경주시 현곡면 용담로 413-3, (경주현대자동차운전학원)",35.8806,129.183,13844,238
경주제일,"경북 경주시 천북면 산업로 4566-21, (경주제일자동차운전학원)",35.8844,129.236,16889,140
(영주)영남,"경북 영주시 조암로 89, (조암동, 영남자동차운전학원)",36.0633,129.36,9419,48
최신,"경북 구미시 고아읍 원대로9길 11, (최신자동차운전학원)",36.1685,128.32,9917,356
화성,"경북 안동시 앙실3길 19, (수하동, 화성자동차운전학원)",36.557,128.677,10213,96
(주)연화재,"경상북도 포항시 북구 흥해읍 새마을로 272-30",36.0496,129.332,9951,60
(청도)화양,"경북 청도군 화양읍 북문길 46, (화양자동차운전학원)",35.6523,128.705,8307,84
경산수성,"경북 경산시 임당로 106, (임당동, 수성자동차학원)",35.8498,128.744,13319,270
포항경북,"경북 포항시 남구 연일읍 연일로 143, (경북자동차운전학원)",35.9994,129.345,10499,228
